NAME,AREA,DISTRCT,LAT,LONG,RIVER,DETAILS_URL,ALTITUDE,ALKALINITY,DEPTH
Loch Assynt,8,West Highland,58.17369,-5.04391,River Inver,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100061,Lowland,Medium alkalinity,Deep
Loch Awe,38.043,Argyll,56.30372,-5.22492,River Awe,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100585,Lowland,Medium alkalinity,Deep
Loch Awe (North),7.53,Argyll,56.30774,-5.22647,River Awe,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100340,Lowland,Medium alkalinity,Deep
Loch Awe (South),30.52,Argyll,56.30774,-5.22647,River Awe,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100247,Lowland,Medium alkalinity,Deep
Loch Bad a  Ghaill,2.59,West Highland,58.03922,-5.26096,Minch Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100088,Lowland,Medium alkalinity,Deep
Loch Badanloch / nan Clar / Rimsdale,9.23,North Highland,58.28739,-4.12174,River Helmsdale,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100042,Lowland,Medium alkalinity,Deep
Loch Beannach,0.52,North Highland,58.08032,-4.37696,River Shin,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100083,Lowland,Medium alkalinity,Deep
Loch Breabhat,0.92,West Highland,58.31612,-6.56127,Lewis and Harris Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100036,Lowland,Medium alkalinity,Deep
Loch Calder,3.81,North Highland,58.52083,-3.59392,River Thurso,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100017,Lowland,Medium alkalinity,Deep
Loch Caluim,0.72,North Highland,58.44337,-3.67805,Forss Water,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100028,Lowland,Medium alkalinity,Deep
Loch Carabhat,1.5,West Highland,57.53313,-7.2724,North Uist Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100133,Lowland,Medium alkalinity,Deep
Loch Ciaran,0.77,Argyll,55.7301,-5.54362,Kintyre Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100301,Lowland,Medium alkalinity,Deep
Loch Coire Geurad,1.03,West Highland,58.09248,-6.8017,Abhainn Ghriomarstaidh,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100072,Lowland,Medium alkalinity,Deep
Loch Craggie,0.54,North Highland,58.03512,-4.33109,River Shin,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100093,Lowland,Medium alkalinity,Shallow
Loch Crocach,0.6,West Highland,58.19257,-5.23356,Minch Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100057,Lowland,Medium alkalinity,Deep
Loch Damh,3.32,West Highland,57.49536,-5.5704,Torridon Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100143,Lowland,Medium alkalinity,Deep
Loch Diabaigas Airde,0.53,West Highland,57.57442,-5.6516,Torridon Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100135,Lowland,Medium alkalinity,Deep
Loch Doir a  Ghearrain,0.51,Argyll,56.87129,-5.73027,Ardnamurchan Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100207,Lowland,Medium alkalinity,Deep
Loch Druidibeag,2.57,West Highland,57.31623,-7.33421,South Uist Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100155,Lowland,Medium alkalinity,Deep
Loch Druidibeg (North),0.67,West Highland,57.32551,-7.35435,South Uist Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100152,Lowland,Medium alkalinity,Deep
Loch Duntelchaig,5.55,North Highland,57.35154,-4.29168,River Nairn,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100161,Mid-altitude,Medium alkalinity,Deep
Loch Earn,9.47,Tay,56.38733,-4.20255,River Earn,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100251,Lowland,Medium alkalinity,Deep
Loch Eck,4.25,Clyde,56.08363,-4.99305,River Eachaig,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100272,Lowland,Medium alkalinity,Deep
Loch Einich,0.74,North East Scotland,57.06894,-3.79218,River Spey,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100193,Mid-altitude,Medium alkalinity,Deep
Loch Enoch,0.5,Clyde,55.13602,-4.43958,River Doon,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100320,Mid-altitude,Medium alkalinity,Deep
Loch Ericht,22.38,Tay,56.81872,-4.39015,River Tay,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100203,Mid-altitude,Medium alkalinity,Deep
Loch Fada,0.58,West Highland,57.81707,-5.50872,Minch Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100103,Lowland,Medium alkalinity,Deep
Loch Faoghail Charrasan,0.57,West Highland,58.14819,-6.75355,Abhainn Ghriomarstaidh,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100055,Lowland,Medium alkalinity,Deep
Loch Faoghail Chiorabhal,0.52,West Highland,58.12913,-6.75667,Abhainn Ghriomarstaidh,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100062,Lowland,Medium alkalinity,Deep
Loch Freuchie,1.39,Tay,56.51785,-3.84735,River Tay,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100242,Mid-altitude,Medium alkalinity,Deep
Loch Glashan,1.91,Argyll,56.08607,-5.34982,Loch Fyne Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100275,Lowland,Medium alkalinity,Deep
Loch Glow,0.51,Forth,56.14601,-3.47074,River Leven (Fife),https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100273,Mid-altitude,Medium alkalinity,Deep
Loch Gruineabhat,1.57,West Highland,58.13756,-6.94895,Lewis and Harris Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100053,Lowland,Medium alkalinity,Deep
Loch Kernsary,0.93,West Highland,57.76121,-5.55946,River Ewe,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100106,Lowland,Medium alkalinity,Deep
Loch Kindar,0.53,Solway,54.96254,-3.61283,Dumfries Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100334,Lowland,Medium alkalinity,Deep
Loch Kinord,0.77,North East Scotland,57.08223,-2.92328,River Dee (Grampian),https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100192,Lowland,Medium alkalinity,Shallow
Loch Langabhat,8.95,West Highland,58.06221,-6.79383,Abhainn Ghriomarstaidh,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100071,Lowland,Medium alkalinity,Deep
Loch Langabhat (South Harris),1.43,West Highland,57.79984,-6.97329,Lewis and Harris Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100099,Lowland,Medium alkalinity,Deep
Loch Leathan,1.2,West Highland,57.48528,-6.16646,Isle of Skye Coastal,https://www.sepa.org.uk/data-visualisation/water-classification-hub/?display=information_sheet&waterbodyid=100145,Lowland,Medium alkalinity,Deep
